disease_id	canonical_name	aliases	source	xref_doid	external_ids	fetch_date
MONDO:0024360	central sleep apnea caused by high altitude	central sleep apnea due to high altitude|central sleep apnea due to high-altitude periodic breathing|high altitude-induced periodic breathing	MONDO			2026-06-29
MONDO:0024361	circadian rhythm sleep disorder	circadian sleep disorder	MONDO			2026-06-29
MONDO:0024363	rapid eye movement sleep disorder	repeated rapid eye movement sleep interruptions	MONDO			2026-06-29
MONDO:0024376	sleep disorder, initiating and maintaining sleep	disorders of initiating and maintaining sleep	MONDO			2026-06-29
MONDO:0024377	circadian rhythm sleep disorder, delayed sleep phase type	DSPS|delayed sleep phase syndrome|sleep wake schedule disorder, delayed phase type	MONDO	DOID:0111141		2026-06-29
MONDO:0024378	circadian rhythm sleep disorder, advanced sleep phase type	circadian rhythm sleep disorder, advanced sleep phase type|sleep-wake schedule disorder, advanced phase type	MONDO			2026-06-29
MONDO:0024379	circadian rhythm sleep disorder, irregular sleep wake type	ISWD|irregular sleep-wake disorder|irregular sleep-wake pattern	MONDO			2026-06-29
MONDO:0024381	circadian rhythm sleep disorder, jet lag type	jet lag	MONDO			2026-06-29
MONDO:0024382	circadian rhythm sleep disorder, shift work type	circadian rhythm sleep disorder of shift work type|shift work disorder	MONDO			2026-06-29
MONDO:0024386	large cell lung carcinoma, clear cell variant	clear cell carcinoma of lung, large cell type|clear cell carcinoma of the lung, large cell type|clear cell lung carcinoma, large cell type|large cell lung carcinoma, clear cell variant	MONDO			2026-06-29
MONDO:0024387	benign ovarian sex cord-stromal tumor	Sex cord stromal tumor, benign|benign Sex cord-stromal neoplasm of ovary|benign Sex cord-stromal neoplasm of the ovary|benign Sex cord-stromal tumor of ovary|benign Sex cord-stromal tumor of the ovary|benign Sex cord-stromal tumour of ovary|benign Sex cord-stromal tumour of the ovary|benign ovarian Sex cord-stromal neoplasm|benign ovarian Sex cord-stromal tumor|benign ovarian Sex cord-stromal tumour|ovarian SEX cord-stromal tumor, benign|ovarian sex cord-stromal tumor, benign	MONDO	DOID:0080370		2026-06-29
MONDO:0024388	Clostridium infectious disease		MONDO			2026-06-29
MONDO:0024389	anaerobic bacteria infectious disease	anaerobic bacterial infection|infection caused by anaerobic bacteria|infection due to anaerobic bacteria	MONDO			2026-06-29
MONDO:0024392	anaerobic balanitis	anaerobic balanitis	MONDO			2026-06-29
