disease_id	molecule_id	relation_type	source	evidence_class	molecule_backbone_mapped	fetch_date
MONDO:0005338	DB13262	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0003781	DB13573	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004995	DB13573	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008559	DB01418	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005279	DB01418	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004966	DB13640	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018078	DB06043	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006733	DB11611	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB00383	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008000	DB00589	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019933	DB00589	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002203	DB04816	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0021063	DB09010	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0000254	DB13671	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0009172	DB00771	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB01625	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005657	DB01263	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0016426	DB01263	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015908	DB01263	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002203	DB04823	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002203	DB14627	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005314	DB09122	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005314	DB00060	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005314	DB00068	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0004781	DB00009	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005279	DB00009	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005086	DB08875	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005180	DB11632	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006678	DB04564	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0024355	DB05659	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0024355	DB12190	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0700081	DB09113	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0013187	DB09310	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0009061	DB09551	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005060	DB08871	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004967	DB00059	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005231	DB11574	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005231	DB11575	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008000	DB13463	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005920	DB13132	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0010604	DB11608	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0000257	DB11696	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB01281	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011429	DB01281	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0009061	DB12598	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB04812	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB13317	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004781	DB00031	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0004967	DB00023	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005233	DB09559	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006559	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005178	DB07477	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002050	DB09254	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB13435	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011122	DB04871	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB13167	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002050	DB09244	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005191	DB05239	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0021107	DB11642	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005233	DB09037	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005044	DB04846	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008364	DB08941	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB13284	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001821	DB04908	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011385	DB11639	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005320	DB11639	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0002049	DB00038	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0018328	DB09303	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006875	DB09013	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005338	DB09013	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB01621	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB00875	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB08922	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB00933	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB04842	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015905	DB09302	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0008383	DB00026	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0016168	DB00026	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011776	DB00026	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0010526	DB00103	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0010526	DB15874	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005148	DB15323	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB00670	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005298	DB11620	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005298	DB06255	indication	DrugCentral	curated_indication	True	2026-06-29
