rna_id	biosample_tissue	biosample_cell_type	expression_value	expression_unit	assay	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000870727_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870728_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870729_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870730_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870731_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870732_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870733_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870734_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870735_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870736_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870737_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870738_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000870739_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934932_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934933_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934934_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934935_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934936_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934937_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934938_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934939_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934940_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934941_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934942_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934943_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934944_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934945_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934946_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934947_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934948_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934949_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934950_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
