disease_id	hpo_id	source	evidence_class
MONDO:0012313	HP:0005110	HPO_annotations	curated_association
MONDO:0012313	HP:0001279	HPO_annotations	curated_association
MONDO:0012313	HP:0001645	HPO_annotations	curated_association
MONDO:0012313	HP:0000006	HPO_annotations	curated_association
MONDO:0008932	HP:0001939	HPO_annotations	inferred_mapping
MONDO:0008932	HP:0000007	HPO_annotations	inferred_mapping
MONDO:0008932	HP:0003745	HPO_annotations	curated_association
MONDO:0012941	HP:0000143	HPO_annotations	curated_association
MONDO:0012941	HP:0004387	HPO_annotations	curated_association
MONDO:0012941	HP:0003593	HPO_annotations	curated_association
MONDO:0012941	HP:0033279	HPO_annotations	curated_association
MONDO:0012941	HP:0000007	HPO_annotations	curated_association
MONDO:0012941	HP:0033256	HPO_annotations	curated_association
MONDO:0012941	HP:0002837	HPO_annotations	curated_association
MONDO:0012941	HP:0009789	HPO_annotations	curated_association
MONDO:0012941	HP:0025084	HPO_annotations	curated_association
MONDO:0013361	HP:0000132	HPO_annotations	curated_association
MONDO:0013361	HP:0003577	HPO_annotations	curated_association
MONDO:0013361	HP:0003010	HPO_annotations	curated_association
MONDO:0013361	HP:0031364	HPO_annotations	inferred_mapping
MONDO:0013361	HP:0005261	HPO_annotations	curated_association
MONDO:0013361	HP:0008151	HPO_annotations	curated_association
MONDO:0013361	HP:0003828	HPO_annotations	curated_association
MONDO:0013361	HP:0000007	HPO_annotations	curated_association
MONDO:0013361	HP:0000978	HPO_annotations	curated_association
MONDO:0013361	HP:0000421	HPO_annotations	curated_association
MONDO:0013361	HP:0002239	HPO_annotations	curated_association
MONDO:0013361	HP:0000225	HPO_annotations	curated_association
MONDO:0013361	HP:0003645	HPO_annotations	curated_association
MONDO:0013584	HP:0001265	HPO_annotations	curated_association
MONDO:0013584	HP:0003676	HPO_annotations	curated_association
MONDO:0013584	HP:0002059	HPO_annotations	curated_association
MONDO:0013584	HP:0000365	HPO_annotations	curated_association
MONDO:0013584	HP:0002354	HPO_annotations	curated_association
MONDO:0013584	HP:0001262	HPO_annotations	curated_association
MONDO:0013584	HP:0002460	HPO_annotations	curated_association
MONDO:0013584	HP:0001251	HPO_annotations	curated_association
MONDO:0013584	HP:0003380	HPO_annotations	curated_association
MONDO:0013584	HP:0031258	HPO_annotations	inferred_mapping
MONDO:0013584	HP:0100710	HPO_annotations	curated_association
MONDO:0013584	HP:0000737	HPO_annotations	curated_association
MONDO:0013584	HP:0000407	HPO_annotations	curated_association
MONDO:0013584	HP:0000726	HPO_annotations	curated_association
MONDO:0013584	HP:0011462	HPO_annotations	curated_association
MONDO:0013584	HP:0000741	HPO_annotations	curated_association
MONDO:0013584	HP:0000763	HPO_annotations	curated_association
MONDO:0013584	HP:0000006	HPO_annotations	curated_association
MONDO:0013584	HP:0002754	HPO_annotations	curated_association
MONDO:0012816	HP:0003596	HPO_annotations	curated_association
MONDO:0012816	HP:0031295	HPO_annotations	curated_association
MONDO:0012816	HP:0011462	HPO_annotations	curated_association
MONDO:0012816	HP:0005110	HPO_annotations	curated_association
MONDO:0012816	HP:0001712	HPO_annotations	curated_association
MONDO:0012816	HP:0012664	HPO_annotations	curated_association
MONDO:0012816	HP:0000006	HPO_annotations	curated_association
MONDO:0012816	HP:0034307	HPO_annotations	curated_association
MONDO:0007661	HP:0010529	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0002360	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0000718	HPO_annotations	curated_association
MONDO:0007661	HP:0000722	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0100035	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0007018	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0000006	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0000742	HPO_annotations	inferred_mapping
MONDO:0007661	HP:0100034	HPO_annotations	curated_association
MONDO:0859159	HP:0003577	HPO_annotations	curated_association
MONDO:0859159	HP:0000486	HPO_annotations	curated_association
MONDO:0859159	HP:0000365	HPO_annotations	curated_association
MONDO:0859159	HP:0009938	HPO_annotations	curated_association
MONDO:0859159	HP:0007618	HPO_annotations	curated_association
MONDO:0859159	HP:0001271	HPO_annotations	curated_association
MONDO:0859159	HP:0000272	HPO_annotations	curated_association
MONDO:0859159	HP:0011344	HPO_annotations	curated_association
MONDO:0859159	HP:0100830	HPO_annotations	curated_association
MONDO:0859159	HP:0011343	HPO_annotations	curated_association
MONDO:0859159	HP:0000729	HPO_annotations	curated_association
MONDO:0859159	HP:0000519	HPO_annotations	curated_association
MONDO:0859159	HP:0000007	HPO_annotations	curated_association
MONDO:0859159	HP:0000664	HPO_annotations	curated_association
MONDO:0859159	HP:0000322	HPO_annotations	curated_association
MONDO:0859159	HP:0000336	HPO_annotations	curated_association
MONDO:0007301	HP:0002025	HPO_annotations	curated_association
MONDO:0007301	HP:0000286	HPO_annotations	curated_association
MONDO:0007301	HP:0001374	HPO_annotations	curated_association
MONDO:0007301	HP:0005257	HPO_annotations	curated_association
MONDO:0007301	HP:0000086	HPO_annotations	curated_association
MONDO:0007301	HP:0002020	HPO_annotations	curated_association
MONDO:0007301	HP:0000162	HPO_annotations	curated_association
MONDO:0007301	HP:0000085	HPO_annotations	curated_association
MONDO:0007301	HP:0410030	HPO_annotations	curated_association
MONDO:0007301	HP:0006593	HPO_annotations	curated_association
MONDO:0007301	HP:0008897	HPO_annotations	curated_association
MONDO:0007301	HP:0000878	HPO_annotations	curated_association
MONDO:0007301	HP:0001643	HPO_annotations	curated_association
MONDO:0007301	HP:0010290	HPO_annotations	curated_association
MONDO:0007301	HP:0001249	HPO_annotations	curated_association
MONDO:0007301	HP:0000358	HPO_annotations	curated_association
MONDO:0007301	HP:0000252	HPO_annotations	curated_association
MONDO:0007301	HP:0000175	HPO_annotations	curated_association
MONDO:0007301	HP:0000494	HPO_annotations	curated_association
MONDO:0007301	HP:0004695	HPO_annotations	curated_association
MONDO:0007301	HP:0030300	HPO_annotations	curated_association
MONDO:0007301	HP:0004209	HPO_annotations	curated_association
MONDO:0007301	HP:0000405	HPO_annotations	curated_association
MONDO:0007301	HP:0002987	HPO_annotations	curated_association
MONDO:0007301	HP:0000201	HPO_annotations	curated_association
MONDO:0007301	HP:0000006	HPO_annotations	curated_association
MONDO:0007301	HP:0000369	HPO_annotations	curated_association
MONDO:0007301	HP:0001611	HPO_annotations	curated_association
MONDO:0007301	HP:0004468	HPO_annotations	curated_association
MONDO:0007301	HP:0003577	HPO_annotations	curated_association
MONDO:0007301	HP:0000343	HPO_annotations	curated_association
MONDO:0007301	HP:0001591	HPO_annotations	curated_association
MONDO:0007301	HP:0000185	HPO_annotations	curated_association
MONDO:0007301	HP:0005792	HPO_annotations	curated_association
MONDO:0007301	HP:0001629	HPO_annotations	curated_association
MONDO:0007301	HP:0000218	HPO_annotations	curated_association
MONDO:0007301	HP:0030282	HPO_annotations	curated_association
MONDO:0007301	HP:0030280	HPO_annotations	inferred_mapping
MONDO:0007301	HP:0001545	HPO_annotations	curated_association
MONDO:0007301	HP:0001561	HPO_annotations	curated_association
MONDO:0007301	HP:0000670	HPO_annotations	curated_association
MONDO:0007301	HP:0002650	HPO_annotations	curated_association
MONDO:0007301	HP:0002132	HPO_annotations	curated_association
MONDO:0007301	HP:0000272	HPO_annotations	curated_association
MONDO:0007301	HP:0000107	HPO_annotations	curated_association
MONDO:0007301	HP:0001631	HPO_annotations	curated_association
MONDO:0007301	HP:0000465	HPO_annotations	curated_association
MONDO:0007301	HP:0000347	HPO_annotations	curated_association
MONDO:0007301	HP:0002643	HPO_annotations	curated_association
MONDO:0014480	HP:0003577	HPO_annotations	curated_association
MONDO:0014480	HP:0012245	HPO_annotations	curated_association
MONDO:0014480	HP:0000133	HPO_annotations	curated_association
MONDO:0014480	HP:0000062	HPO_annotations	curated_association
MONDO:0014480	HP:0000729	HPO_annotations	curated_association
MONDO:0014480	HP:0000063	HPO_annotations	curated_association
MONDO:0014480	HP:0000006	HPO_annotations	curated_association
MONDO:0007171	HP:0001706	HPO_annotations	curated_association
MONDO:0007171	HP:0025478	HPO_annotations	curated_association
MONDO:0007171	HP:0011705	HPO_annotations	curated_association
MONDO:0007171	HP:0200127	HPO_annotations	curated_association
MONDO:0007171	HP:0005155	HPO_annotations	curated_association
MONDO:0007171	HP:0006699	HPO_annotations	curated_association
MONDO:0007171	HP:0004757	HPO_annotations	inferred_mapping
MONDO:0007171	HP:0000006	HPO_annotations	curated_association
MONDO:0007217	HP:0009370	HPO_annotations	curated_association
MONDO:0007217	HP:0004220	HPO_annotations	curated_association
MONDO:0007217	HP:0004209	HPO_annotations	curated_association
MONDO:0007217	HP:0000006	HPO_annotations	curated_association
MONDO:0007217	HP:0010579	HPO_annotations	curated_association
MONDO:0007217	HP:0005910	HPO_annotations	curated_association
MONDO:0012820	HP:0003003	HPO_annotations	curated_association
MONDO:0013946	HP:0000175	HPO_annotations	curated_association
MONDO:0013946	HP:0000054	HPO_annotations	curated_association
MONDO:0013946	HP:0000939	HPO_annotations	curated_association
MONDO:0013946	HP:0000938	HPO_annotations	curated_association
MONDO:0013946	HP:0000458	HPO_annotations	curated_association
MONDO:0013946	HP:0002857	HPO_annotations	curated_association
MONDO:0013946	HP:0012506	HPO_annotations	curated_association
MONDO:0013946	HP:0008734	HPO_annotations	curated_association
MONDO:0013946	HP:0000006	HPO_annotations	curated_association
MONDO:0013946	HP:0000028	HPO_annotations	curated_association
MONDO:0013946	HP:0000786	HPO_annotations	curated_association
MONDO:0014242	HP:0000286	HPO_annotations	curated_association
MONDO:0014242	HP:0010804	HPO_annotations	curated_association
MONDO:0014242	HP:0000365	HPO_annotations	curated_association
MONDO:0014242	HP:0000089	HPO_annotations	curated_association
MONDO:0014242	HP:0001252	HPO_annotations	curated_association
MONDO:0014242	HP:0012745	HPO_annotations	curated_association
MONDO:0014242	HP:0011220	HPO_annotations	curated_association
MONDO:0014242	HP:0000316	HPO_annotations	curated_association
MONDO:0014242	HP:0002779	HPO_annotations	curated_association
MONDO:0014242	HP:0001249	HPO_annotations	curated_association
MONDO:0014242	HP:0000054	HPO_annotations	curated_association
MONDO:0014242	HP:0002079	HPO_annotations	curated_association
MONDO:0014242	HP:0032409	HPO_annotations	inferred_mapping
MONDO:0014242	HP:0011968	HPO_annotations	curated_association
MONDO:0014242	HP:0000293	HPO_annotations	curated_association
MONDO:0014242	HP:0001382	HPO_annotations	curated_association
MONDO:0014242	HP:0001263	HPO_annotations	curated_association
MONDO:0014242	HP:0010554	HPO_annotations	curated_association
MONDO:0014242	HP:0011800	HPO_annotations	curated_association
MONDO:0014242	HP:0009890	HPO_annotations	curated_association
MONDO:0014242	HP:0000407	HPO_annotations	curated_association
MONDO:0014242	HP:0010044	HPO_annotations	curated_association
MONDO:0014242	HP:0000327	HPO_annotations	curated_association
MONDO:0014242	HP:0000007	HPO_annotations	curated_association
MONDO:0014242	HP:0000689	HPO_annotations	curated_association
MONDO:0014242	HP:0000405	HPO_annotations	curated_association
MONDO:0014242	HP:0000048	HPO_annotations	curated_association
MONDO:0014242	HP:0000047	HPO_annotations	curated_association
MONDO:0014242	HP:0000960	HPO_annotations	curated_association
MONDO:0014242	HP:0000402	HPO_annotations	curated_association
MONDO:0014242	HP:0004689	HPO_annotations	curated_association
MONDO:0014242	HP:0000341	HPO_annotations	curated_association
MONDO:0014242	HP:0003577	HPO_annotations	curated_association
MONDO:0014242	HP:0000023	HPO_annotations	curated_association
MONDO:0014242	HP:0001195	HPO_annotations	curated_association
MONDO:0014242	HP:0000260	HPO_annotations	curated_association
MONDO:0014242	HP:0000581	HPO_annotations	curated_association
MONDO:0014242	HP:0010621	HPO_annotations	curated_association
MONDO:0014242	HP:0002282	HPO_annotations	inferred_mapping
MONDO:0014242	HP:0040079	HPO_annotations	curated_association
MONDO:0014242	HP:0000938	HPO_annotations	curated_association
MONDO:0014242	HP:0009487	HPO_annotations	curated_association
MONDO:0014242	HP:0008551	HPO_annotations	curated_association
MONDO:0014242	HP:0030043	HPO_annotations	curated_association
MONDO:0014242	HP:0030084	HPO_annotations	curated_association
MONDO:0014242	HP:0002714	HPO_annotations	curated_association
MONDO:0014242	HP:0000218	HPO_annotations	curated_association
MONDO:0014242	HP:0002557	HPO_annotations	curated_association
MONDO:0014242	HP:0000774	HPO_annotations	curated_association
MONDO:0014242	HP:0000894	HPO_annotations	curated_association
MONDO:0014242	HP:0000413	HPO_annotations	curated_association
MONDO:0014242	HP:0001545	HPO_annotations	curated_association
MONDO:0014242	HP:0002652	HPO_annotations	curated_association
MONDO:0014242	HP:0002650	HPO_annotations	curated_association
MONDO:0014242	HP:0001762	HPO_annotations	curated_association
MONDO:0014242	HP:0000431	HPO_annotations	curated_association
MONDO:0014242	HP:0000272	HPO_annotations	curated_association
MONDO:0014242	HP:0045025	HPO_annotations	curated_association
MONDO:0014242	HP:0032388	HPO_annotations	curated_association
MONDO:0014242	HP:0010537	HPO_annotations	curated_association
MONDO:0014242	HP:0005280	HPO_annotations	curated_association
MONDO:0014242	HP:0000508	HPO_annotations	curated_association
MONDO:0014242	HP:0001510	HPO_annotations	curated_association
MONDO:0014242	HP:0000028	HPO_annotations	curated_association
MONDO:0014242	HP:0000347	HPO_annotations	curated_association
MONDO:0007285	HP:0100018	HPO_annotations	curated_association
MONDO:0007285	HP:0003577	HPO_annotations	curated_association
MONDO:0007285	HP:0010693	HPO_annotations	curated_association
MONDO:0007285	HP:0000482	HPO_annotations	curated_association
MONDO:0007285	HP:0007787	HPO_annotations	curated_association
MONDO:0007285	HP:0000006	HPO_annotations	curated_association
MONDO:0011872	HP:0002344	HPO_annotations	curated_association
MONDO:0011872	HP:0002972	HPO_annotations	curated_association
MONDO:0011872	HP:0001250	HPO_annotations	curated_association
MONDO:0011872	HP:0002220	HPO_annotations	curated_association
MONDO:0011872	HP:0001010	HPO_annotations	curated_association
MONDO:0011872	HP:0003593	HPO_annotations	curated_association
MONDO:0011872	HP:0012156	HPO_annotations	curated_association
MONDO:0011872	HP:0003819	HPO_annotations	curated_association
MONDO:0011872	HP:0002718	HPO_annotations	curated_association
MONDO:0011872	HP:0000007	HPO_annotations	curated_association
