hpo_id	term	synonyms	source	hierarchy_reference	fetch_date
HP:5210239	Unusual bacterial nail bed infection	Recurrent paronychia|Unusual bacterial paronychia|Unusual nail fold infection|Unusual paronychia	HPO		2026-06-29
HP:5210240	Unusual HSV infection	Unusual herpes simplex virus infection|Unusual susceptibility to HSV	HPO		2026-06-29
HP:5210241	Recurrent onychomycosis	Chronic nail candidiasis|Chronic onychomycosis|Recurrent fungal nail infection	HPO		2026-06-29
HP:5210242	Unusual mycobacterial skin infection	Unusual mycobacterial skin infection	HPO		2026-06-29
HP:5210243	Unusual fascia infection	Invasive fascial infection|Unusual necrotising fasciitis|Unusual necrotizing fasciitis|Unusual soft tissue necrotizing infection	HPO		2026-06-29
HP:5210244	Unusual cutaneous larva migrans	CLM|Creeping eruption|Hookworm-related cutaneous larva migrans	HPO		2026-06-29
HP:5210245	Unusual cutaneous leishmaniasis	Unusual cutaneous leishmaniasis|Unusual mucocutaneous leishmaniasis|Unusual susceptibility to cutaneous Leishmania infection	HPO		2026-06-29
HP:5210246	Severe gingivitis	Invasive gingivitis|Necrotising ulcerative gingivitis|Necrotizing gingivitis	HPO		2026-06-29
HP:5210247	Recurrent periodontitis	Chronic periodontitis|Persistent periodontitis	HPO		2026-06-29
HP:5210248	Severe dental abscess	Disseminated dental abscess|Invasive dental abscess|Severe tooth abscess	HPO		2026-06-29
HP:5210249	Recurrent dental abscesses	Chronic dental abscess|Persistent dental abscess|Recurrent tooth abscesses	HPO		2026-06-29
HP:5210250	Severe stomatitis	Invasive stomatitis|Necrotizing stomatitis|Severe infectious stomatitis	HPO		2026-06-29
HP:5210251	Recurrent stomatitis	Chronic stomatitis|Persistent stomatitis|Recurrent infectious stomatitis	HPO		2026-06-29
HP:5210252	Unusual oral thrush	Unusual oral candidiasis|Unusual oropharyngeal candidiasis	HPO		2026-06-29
HP:5210253	Severe oral thrush	Invasive oral candidiasis|Severe oropharyngeal candidiasis	HPO		2026-06-29
HP:5210254	Severe pharyngitis	Invasive pharyngitis	HPO		2026-06-29
HP:5210255	Severe otitis media	Complicated otitis media|Invasive otitis media	HPO		2026-06-29
HP:5210256	Severe otitis externa	Invasive otitis externa|Malignant otitis externa|Necrotising otitis externa	HPO		2026-06-29
HP:5210257	Recurrent otitis externa	Chronic otitis externa|Persistent otitis externa	HPO		2026-06-29
HP:5210258	Unusual conjunctivitis	Unusual infectious conjunctivitis|Unusual susceptibility to conjunctivitis	HPO		2026-06-29
HP:5210259	Severe conjunctivitis	Epidemic keratoconjunctivitis (severe)|Invasive conjunctivitis|Severe infectious keratoconjunctivitis	HPO		2026-06-29
HP:5210260	Recurrent conjunctivitis	Chronic conjunctivitis|Persistent conjunctivitis|Recurrent infectious conjunctivitis	HPO		2026-06-29
HP:5210261	Unusual keratitis	Unusual corneal infection|Unusual herpetic keratitis|Unusual infectious keratitis|Unusual susceptibility to keratitis	HPO		2026-06-29
HP:5210262	Severe keratitis	Corneal ulceration due to infection|Invasive keratitis|Necrotising keratitis|Severe herpetic keratitis	HPO		2026-06-29
HP:5210263	Recurrent keratitis	Chronic keratitis|Persistent keratitis|Recurrent herpes simplex keratitis|Recurrent herpetic keratitis	HPO		2026-06-29
HP:5210264	Unusual retinitis	Unusual infectious retinitis|Unusual susceptibility to retinitis|Unusual viral retinitis	HPO		2026-06-29
HP:5210265	Severe retinitis	Invasive retinitis	HPO		2026-06-29
